Protein IDs	Majority protein IDs	Gene names	Intensity RPN4_0h_1	Intensity RPN4_0h_2	Intensity RPN4_0h_3	Intensity RPN4_0h_4	Intensity RPN4_2h_1	Intensity RPN4_2h_2	Intensity RPN4_2h_3	Intensity RPN4_2h_4	Intensity RPN4_4h_1	Intensity RPN4_4h_2	Intensity RPN4_4h_3	Intensity RPN4_4h_4	Intensity wt_0h_1	Intensity wt_0h_2	Intensity wt_0h_3	Intensity wt_0h_4	Intensity wt_2h_1	Intensity wt_2h_2	Intensity wt_2h_3	Intensity wt_2h_4	Intensity wt_4h_1	Intensity wt_4h_2	Intensity wt_4h_3	Intensity wt_4h_4	Reverse	Potential contaminant
Q3E7Y4;A0A023PXF5	Q3E7Y4;A0A023PXF5	YBL112C;YHR218W-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16653000		
A0A023PXH9	A0A023PXH9	YDR149C	0	0	0	0	0	0	0	0	0	0	49290000	0	0	0	0	0	0	0	0	0	0	0	0	0		
A5Z2X5	A5Z2X5	YPR010C-A	933690000	1172900000	876020000	1318800000	983670000	887830000	562620000	1012700000	1052500000	961150000	1049300000	1101300000	829410000	915040000	583100000	926700000	820950000	890880000	883240000	846310000	1409800000	1384200000	1121000000	738960000		
CON__ENSEMBL:ENSBTAP00000038253	CON__ENSEMBL:ENSBTAP00000038253		0	0	0	0	0	0	0	0	79615000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		+
CON__O95678	CON__O95678		39653000	36377000	0	0	51216000	26026000	0	0	44293000	0	0	0	51431000	136930000	0	0	42326000	0	0	0	56112000	37721000	0	0		+
CON__P00761	CON__P00761		16742000000	17097000000	21075000000	16697000000	21073000000	18781000000	17365000000	18849000000	16150000000	17864000000	16170000000	18275000000	17164000000	19047000000	21303000000	18894000000	17994000000	17057000000	21029000000	16495000000	16903000000	19342000000	20142000000	15293000000		+
CON__P01966	CON__P01966		28294000	6962300000	0	0	131160000	7056800000	0	0	0	0	0	5892100000	17875000	0	0	0	0	0	0	0	13469000	0	0	0		+
CON__P02533;CON__Q6IFX2;CON__Q9QWL7;CON__Q61782	CON__P02533;CON__Q6IFX2;CON__Q9QWL7		0	154920000	35001000	293650000	0	0	20272000	58330000	465240000	132080000	73582000	221340000	462830000	175340000	163950000	192740000	52180000	0	150380000	155020000	0	0	15515000	77734000		+
CON__P48668;CON__P04259;CON__P02538	CON__P48668;CON__P04259;CON__P02538		0	56889000	162840000	25390000	0	0	0	0	19717000	0	0	21680000	0	0	0	46249000	0	0	0	0	0	0	0	0		+
CON__P02662	CON__P02662		0	0	0	0	0	0	0	0	0	0	0	0	3643300	0	0	0	0	0	64262000	0	0	0	0	0		+
CON__P02768-1	CON__P02768-1		0	3412800000	0	20338000	0	0	4933300000	0	0	0	0	0	0	0	0	0	0	0	0	0	185100000	4690700000	0	0		+
CON__P02769	CON__P02769		17721000	0	43461000	0	0	0	0	7941200	0	58340000	0	0	0	0	0	0	0	0	0	0	0	0	0	0		+
CON__P04264;CON__H-INV:HIT000016045	CON__P04264		1346900000	12851000000	2492200000	8771800000	1718600000	341900000	1715800000	3055300000	17189000000	6918900000	3833300000	4062200000	28187000000	10667000000	6200200000	4993600000	5059400000	2780500000	1221300000	4844200000	1974500000	1330900000	4702300000	3515800000		+
CON__P08779	CON__P08779		0	0	0	17434000	0	0	0	0	0	0	0	93096000	14168000	12724000	0	15749000	0	20887000	20989000	0	0	0	0	0		+
CON__P13645;CON__P02535-1;CON__Q7Z3Y7	CON__P13645		421760000	10906000000	1112300000	6560000000	679430000	624340000	735420000	3245300000	13939000000	3713100000	3500800000	1963200000	24950000000	4035800000	2988300000	4110700000	2757000000	1090400000	775730000	5028000000	1801600000	799650000	2598000000	2530700000		+
CON__P13647	CON__P13647		0	468090000	26352000	4358700000	285370000	0	40293000	121500000	476080000	48055000	82378000	102440000	843430000	259300000	89078000	331100000	12781000	0	42522000	580390000	20309000	0	84328000	57448000		+
CON__P15636	CON__P15636		20366000000	21475000000	18890000000	12800000000	16526000000	15629000000	17680000000	18150000000	14347000000	17489000000	14851000000	10163000000	25021000000	22753000000	21961000000	19789000000	19863000000	16546000000	16593000000	14025000000	17079000000	21003000000	15596000000	10344000000		+
CON__P19012	CON__P19012		0	0	0	0	0	0	0	0	44198000	0	0	0	0	0	0	13552000	0	0	0	0	46887000	0	0	0		+
CON__P35527;CON__Q99456	CON__P35527		719670000	4980800000	899510000	5174100000	595620000	0	581680000	1500800000	10181000000	2384900000	2544300000	3919500000	15695000000	7529000000	3252100000	2344000000	2306900000	1349000000	312090000	2927700000	1356800000	432370000	2678400000	2896000000		+
CON__P35908;CON__Q6NXH9	CON__P35908		448830000	7027100000	1094200000	5437700000	498060000	251700000	514470000	2935700000	13073000000	3188500000	2559500000	1541500000	22314000000	5463900000	3021100000	3026900000	1921000000	1202100000	193470000	3376300000	1422600000	290360000	2111900000	2643300000		+
CON__Q04695	CON__Q04695		0	27349000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		+
CON__Q29443;CON__Q0IIK2	CON__Q29443;CON__Q0IIK2		0	380930000	0	0	0	0	0	0	0	0	0	0	0	0	0	16832000	0	0	0	0	0	0	0	0		+
CON__Q3TTY5	CON__Q3TTY5		0	0	0	0	32623000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		+
CON__Q5D862	CON__Q5D862		0	17548000	0	0	0	0	0	0	13523000	0	0	0	34276000	0	0	0	0	0	0	0	0	0	0	0		+
CON__Q7RTS7;CON__Q3SY84	CON__Q7RTS7;CON__Q3SY84		0	18839000	0	15390000	0	0	0	0	20845000	0	0	0	32412000	0	0	0	0	14566000	0	0	0	0	0	0		+
CON__Q7Z3Y8	CON__Q7Z3Y8		0	0	0	0	0	0	0	22184000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		+
CON__Q7Z3Z0	CON__Q7Z3Z0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13383000	0	0		+
