Majority protein IDs	Gene names	Q-value	Score	Ratio H/L AP4B1KO_02_03K	Ratio H/L AP4B1KO_02_06K	Ratio H/L AP4B1KO_02_12K	Ratio H/L AP4B1KO_02_24K	Ratio H/L AP4B1KO_02_80K	Ratio H/L AP4B1KO_03_03K	Ratio H/L AP4B1KO_03_06K	Ratio H/L AP4B1KO_03_12K	Ratio H/L AP4B1KO_03_24K	Ratio H/L AP4B1KO_03_80K	Ratio H/L AP4E1KO_02_03K	Ratio H/L AP4E1KO_02_06K	Ratio H/L AP4E1KO_02_12K	Ratio H/L AP4E1KO_02_24K	Ratio H/L AP4E1KO_02_80K	Ratio H/L AP4E1KO_03_03K	Ratio H/L AP4E1KO_03_06K	Ratio H/L AP4E1KO_03_12K	Ratio H/L AP4E1KO_03_24K	Ratio H/L AP4E1KO_03_80K	Ratio H/L WtHeLa_02_03K	Ratio H/L WtHeLa_02_06K	Ratio H/L WtHeLa_02_12K	Ratio H/L WtHeLa_02_24K	Ratio H/L WtHeLa_02_80K	Ratio H/L WtHeLa_03_03K	Ratio H/L WtHeLa_03_06K	Ratio H/L WtHeLa_03_12K	Ratio H/L WtHeLa_03_24K	Ratio H/L WtHeLa_03_80K	Reverse	Potential contaminant
A0A0B4J2F0	PIGBOS1	0.0	7.0233	0.5966899999999999	0.74645	11.777000000000001	15.921	17.832	1.4428					0.42454	0.63094	7.372000000000001	21.671999999999997	54.608999999999995	2.3773	4.7136	3.241	1.2383		0.48596999999999996	0.71673	6.9716			0.46931000000000006	1.1557	0.77761	2.5712			
A0AV96;A0AV96-2	RBM47	0.0	290.0	2.7251	1.8166	0.69426	0.5372	0.4076	3.1489999999999996	1.8504	0.8546299999999999	0.45619	0.47986	2.7749	1.8242	0.65159	0.45261	0.41501000000000005	2.5637	1.9877	0.77586	0.49973	0.45216999999999996	3.45	1.7659	0.61369	0.45861	0.47478000000000004	2.9429	1.7819	0.84409	0.5090100000000001	0.43467		
A0AVF1;A0AVF1-2;A0AVF1-3	TTC26	0.0	48.655	2.8679	2.1185	0.58412	0.55247	0.53533			0.78352	0.39902	0.5660000000000001	2.4074	1.9765	0.72356	0.5062	0.47644	0.97421	2.0064	0.37640999999999997	0.46548999999999996	0.4204	2.1403	1.8082	0.44068999999999997	0.44618	0.53727			0.80392	0.39419	0.39485		
A0AVI4;A0AVI4-2	TMEM129	0.0	19.448	1.5251	0.7501399999999999	0.57929			1.2575	0.65776	0.7742	4.1617	2.8872	0.95132	0.39371999999999996					0.69958				0.88254	0.4077	0.39791				0.90259		7.7135			
A0AVT1;A0AVT1-2	UBA6	0.0	57.977	0.46617	0.65145	0.33149	0.31235999999999997	0.55982	0.45466999999999996	0.54206	0.3092	0.38561	0.64958	0.31119	0.46979	0.34714	0.35803	0.75797	0.43368999999999996	0.53647	0.46126000000000006	0.66532	0.8708600000000001	0.52937	0.3606	0.32021	0.22355999999999998	0.62326	0.47372	0.5819	0.38835	0.55684	0.56987		
A0FGR8-2;A0FGR8-4	ESYT2	0.0	8.402999999999999	0.8871700000000001	0.58167	0.6108600000000001	1.5706	2.5908	0.9094	0.57972	0.72173	1.4708	2.2333	0.7401800000000001	0.55415	0.73757	1.41	2.5301	0.8448200000000001	0.54635	0.7427699999999999	1.8840000000000001	2.3417	0.65612	0.5462899999999999	0.66572	1.8958	3.1196	0.6879	0.57911	0.85761	1.8188	2.4265		
A0FGR8-6;A0FGR8	ESYT2	0.0	323.31	0.86349	0.60798	0.68786	1.5639	2.9439	0.93174	0.64786	0.70222	1.4464	3.4285	0.80405	0.62007	0.7456	1.73	2.5077	0.87425	0.6296	0.74835	1.7634	2.6399	0.79611	0.57727	0.68658	1.6253	2.8741	0.8348399999999999	0.66179	0.91635	1.8609	2.4866		
A0JLT2;A0JLT2-2	MED19	0.0	26.141	0.6641	0.9478	0.37369		0.6080300000000001			0.37045	0.15097	0.13538	0.85355	1.0422	0.46212		0.42733999999999994			0.51613	0.45888		1.8353	0.95185	0.49681000000000003	0.42533999999999994		1.104				0.25227		
A0JNW5	UHRF1BP1L	0.0	36.404		1.2126	0.6494800000000001	0.45652	0.47147	1.9306	2.4454	0.9787600000000001	0.38269000000000003	0.64293	2.4175		0.5396	0.7401	0.48723	2.9138	1.2616	0.68486	0.57425	0.42898000000000003		0.83806	0.57382	0.49642	0.545	2.2407	0.8376100000000001	0.8266399999999999	0.43482	0.39394		
A0MZ66;A0MZ66-6;A0MZ66-5;A0MZ66-3;A0MZ66-4;A0MZ66-8;A0MZ66-2	KIAA1598	0.0	292.17	0.44216000000000005	0.48855	0.47873000000000004	0.55414	1.0995	0.67275	0.56688	0.40219	0.5421699999999999	0.9869600000000001	0.35423000000000004	0.5128	0.4234	0.42616000000000004	0.9053700000000001	0.44673999999999997	0.7025100000000001	0.5148199999999999	0.54256	0.8936700000000001	0.47052	0.44783	0.34970999999999997	0.36393000000000003	0.8647	0.5413399999999999	0.43268999999999996	0.58901	0.5226	1.1524		
A0PJW6	TMEM223	0.0	35.301	0.4689	0.58543	8.0143	34.696999999999996	17.162	0.39886	0.7056	7.5825	27.164	27.233	0.3492	0.5796	7.0122	26.048000000000002	14.091	0.44286000000000003	0.5666399999999999	5.7423	12.298	32.801	0.35449	0.57572	4.9043	14.587	6.5346	0.41217	0.59516	7.1574	12.738	21.886999999999997		
A0PJZ3	GXYLT2	0.00027163	3.4431				0.58806							0.4325	0.41797																				
A0PK00	TMEM120B	0.0	25.19	1.1838	0.49355	0.75845	2.0795	9.0559	1.2487	0.35783000000000004	0.66188	1.5849	9.585	1.0517	0.50752	0.72813	3.1146		1.1463	0.51178	0.7256	2.7804		0.97611	0.64066	0.4448	2.1969		0.80998	0.8716	0.9335700000000001	2.9628			
A1A4S6	ARHGAP10	0.0	191.06	1.2930000000000001	1.6794	0.81529	0.64604	0.48706000000000005	1.4725	1.7223	0.9373	0.6140399999999999	0.59858	1.4856	1.672	0.72604	0.50127	0.5222899999999999	1.2933	1.3484	0.88118	0.59735	0.48352	1.5339	1.6867	0.71778	0.51866	0.54727	1.7175	1.5346	0.90733	0.5302600000000001	0.47616		
A1KXE4	FAM168B	0.0	17.139		0.47273000000000004	0.22518000000000002	0.21769000000000002	0.23978000000000002			0.35611		0.61605	1.1362	0.61721	0.36102	0.3139	0.6562600000000001		0.2864	0.45708000000000004	0.24958000000000002	0.58687	0.92335	0.30387	0.070988	0.10142999999999999	0.32358000000000003	0.31349	0.14429	0.21505	0.25011	0.365		
A1L020	MEX3A	0.0	12.684000000000001	0.6157199999999999	0.6482100000000001	0.70937	0.96095	0.39405999999999997	0.69817	0.51957	0.62003	0.90307	0.5612699999999999	1.6151		0.53808	0.37371	0.37205	0.64608	0.55047	0.8267899999999999	0.63573	0.711		1.6211	0.6399199999999999	0.38752	0.52259		0.70362	0.6683100000000001	0.6540699999999999	0.60158		
A1L0T0	ILVBL	0.0	323.31	1.1254	0.55921	0.61743	1.64	4.7845	1.2546	0.6060300000000001	0.63	1.5282	5.2821	0.9028200000000001	0.48786999999999997	0.69301	1.9792	5.2224	1.0733	0.56243	0.6793600000000001	1.9965	5.518	0.9032899999999999	0.50046	0.62855	1.8852	5.6345	0.99685	0.57309	0.83885	2.0964	4.1353		
A1L170;A1L170-2	C1orf226	0.0	34.727	0.5454399999999999	0.5759	0.815	1.7997		0.4795	0.54565	0.9182100000000001	2.6705		0.51447	0.61029	0.7991699999999999	2.7056		0.39116999999999996	0.46102	0.9440799999999999	2.0331		0.52787	0.61041	0.81135	2.0258	19.258	0.48907	0.68286	1.4297	3.1443			
A1L188	C17orf89	0.0	9.4591	0.40815	0.48241000000000006		5.222	2.0566	0.38459			7.8446	20.357	0.4467	0.5362899999999999		5.0167	0.5655100000000001	0.2449	0.55243			12.195	0.2893	0.50941		6.4866		0.25363	2.4379	4.5642				
A1L390;A1L390-3;A1L390-2	PLEKHG3	0.0	161.82	0.19810999999999998	0.67552	1.7532	2.2382	2.7922	0.27387	0.7148399999999999	2.4352	4.3299	6.3899	0.24334	0.76126	1.2279	1.5489	4.1396	0.26549	0.64827	1.4918	3.5191	6.7651	0.31428	0.7148100000000001	1.5330000000000001	2.0157	2.3534	0.30416	0.79961	2.1419	3.1133	1.9439		
A1X283	SH3PXD2B	0.0	323.31	1.8124	1.7849	0.77491	0.5387	0.46553999999999995	1.9855	1.9551	0.87787	0.54373	0.47384	1.9946	1.828	0.71813	0.50908	0.45593999999999996	1.9662	1.608	0.71053	0.5183800000000001	0.43883999999999995	2.2298	1.8699	0.66662	0.46668000000000004	0.47693	2.3406	1.6831	0.79409	0.50826	0.43509		
A2A3N6	PIPSL	1.0	-2.0																			0.0046216													
