Entry	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
P10659	methionine metabolic process [GO:0006555]; one-carbon metabolic process [GO:0006730]; S-adenosylmethionine biosynthetic process [GO:0006556]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; methionine adenosyltransferase activity [GO:0004478]	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]
Q02455	DNA repair [GO:0006281]; mRNA export from nucleus [GO:0006406]; negative regulation of protein import into nucleus during spindle assembly checkpoint [GO:1901925]; nuclear retention of unspliced pre-mRNA at the site of transcription [GO:0071048]; poly(A)+ mRNA export from nucleus [GO:0016973]; protein import into nucleus [GO:0006606]; protein localization to nuclear pore [GO:0090204]; telomere tethering at nuclear periphery [GO:0034398]; transcriptional activation by promoter-terminator looping [GO:0090203]	mRNA binding [GO:0003729]; ribonucleoprotein complex binding [GO:0043021]; structural constituent of nuclear pore [GO:0017056]	nuclear envelope [GO:0005635]; nuclear pore [GO:0005643]; nuclear pore nuclear basket [GO:0044615]; nucleoplasm [GO:0005654]
Q99316	protein folding [GO:0006457]	protein disulfide isomerase activity [GO:0003756]; protein disulfide oxidoreductase activity [GO:0015035]	endoplasmic reticulum [GO:0005783]
P0CD99	alpha-glucoside transport [GO:0000017]; carbohydrate transport [GO:0008643]; maltose metabolic process [GO:0000023]; transmembrane transport [GO:0055085]	alpha-glucoside transmembrane transporter activity [GO:0015151]; carbohydrate:proton symporter activity [GO:0005351]; maltose transmembrane transporter activity [GO:0005363]	cell periphery [GO:0071944]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]
P38994	ascospore-type prospore assembly [GO:0031321]; cortical actin cytoskeleton organization [GO:0030866]; phosphatidylinositol phosphorylation [GO:0046854]	1-phosphatidylinositol-4-phosphate 5-kinase activity [GO:0016308]; ATP binding [GO:0005524]; phosphatidylinositol-3-phosphate binding [GO:0032266]; phosphatidylinositol-4-phosphate binding [GO:0070273]	nucleus [GO:0005634]; plasma membrane [GO:0005886]
P0CX80	detoxification of cadmium ion [GO:0071585]; detoxification of copper ion [GO:0010273]; removal of superoxide radicals [GO:0019430]; response to copper ion [GO:0046688]	antioxidant activity [GO:0016209]; cadmium ion binding [GO:0046870]; copper ion binding [GO:0005507]; superoxide dismutase activity [GO:0004784]	cytosol [GO:0005829]
Q03776	mRNA 5'-splice site recognition [GO:0000395]; mRNA splicing, via spliceosome [GO:0000398]	RNA binding [GO:0003723]	commitment complex [GO:0000243]; U1 snRNP [GO:0005685]; U2-type prespliceosome [GO:0071004]
P38698	polyphosphate catabolic process [GO:0006798]	exopolyphosphatase activity [GO:0004309]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]
P30656	proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome core complex assembly [GO:0080129]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	endopeptidase activity [GO:0004175]; threonine-type endopeptidase activity [GO:0004298]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; nucleus [GO:0005634]; proteasome core complex [GO:0005839]; proteasome core complex, beta-subunit complex [GO:0019774]; proteasome storage granule [GO:0034515]
P47116	cellular ion homeostasis [GO:0006873]; G1/S transition of mitotic cell cycle [GO:0000082]; intracellular signal transduction [GO:0035556]; protein phosphorylation [GO:0006468]; putrescine transport [GO:0015847]; regulation of cell size [GO:0008361]; spermidine transport [GO:0015848]; spermine transport [GO:0000296]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
